date	temp
20150101	35
20150102	76
20150103	46
20150104	35
20150105	29
20150106	32
20150107	42
20150108	68
20150109	98
20150110	92
20150111	66
20150112	90
20150113	83
20150114	44
20150115	77
20150116	51
20150117	27
20150118	25
20150119	2
20150120	6
20150121	-3
20150122	-8
20150123	-29
20150124	24
20150125	45
20150126	66
20150127	55
20150128	52
20150129	30
20150130	13
20150131	15
20150201	29
20150202	25
20150203	13
20150204	-1
20150205	-1
20150206	0
20150207	24
20150208	51
20150209	59
20150210	58
20150211	43
20150212	36
20150213	55
20150214	69
20150215	25
20150216	13
20150217	39
20150218	25
20150219	37
20150220	52
20150221	31
20150222	30
20150223	60
20150224	55
20150225	42
20150226	62
20150227	43
20150228	52
20150301	79
20150302	52
20150303	47
20150304	54
20150305	54
20150306	64
20150307	77
20150308	82
20150309	80
20150310	71
20150311	38
20150312	63
20150313	48
20150314	42
20150315	57
20150316	68
20150317	83
20150318	55
20150319	77
20150320	49
20150321	65
20150322	45
20150323	34
20150324	54
20150325	59
20150326	47
20150327	59
20150328	71
20150329	89
20150330	70
20150331	85
20150401	67
20150402	62
20150403	71
20150404	52
20150405	50
20150406	75
20150407	65
20150408	83
20150409	105
20150410	113
20150411	89
20150412	97
20150413	79
20150414	107
20150415	127
20150416	96
20150417	85
20150418	88
20150419	82
20150420	111
20150421	99
20150422	84
20150423	96
20150424	118
20150425	120
20150426	98
20150427	74
20150428	67
20150429	84
20150430	90
20150501	85
20150502	96
20150503	124
20150504	149
20150505	153
20150506	121
20150507	119
20150508	139
20150509	128
20150510	126
20150511	168
20150512	141
20150513	118
20150514	113
20150515	93
20150516	110
20150517	117
20150518	107
20150519	106
20150520	100
20150521	122
20150522	144
20150523	121
20150524	122
20150525	120
20150526	118
20150527	133
20150528	129
20150529	113
20150530	115
20150531	123
20150601	126
20150602	144
20150603	140
20150604	155
20150605	205
20150606	149
20150607	133
20150608	126
20150609	117
20150610	151
20150611	176
20150612	207
20150613	165
20150614	144
20150615	130
20150616	124
20150617	160
20150618	136
20150619	133
20150620	131
20150621	146
20150622	130
20150623	127
20150624	160
20150625	180
20150626	202
20150627	170
20150628	177
20150629	182
20150630	206
20150701	261
20150702	244
20150703	238
20150704	239
20150705	197
20150706	183
20150707	197
20150708	159
20150709	136
20150710	172
20150711	201
20150712	180
20150713	179
20150714	178
20150715	174
20150716	191
20150717	212
20150718	178
20150719	161
20150720	179
20150721	199
20150722	190
20150723	174
20150724	189
20150725	150
20150726	148
20150727	169
20150728	158
20150729	145
20150730	139
20150731	139
20150801	158
20150802	182
20150803	208
20150804	179
20150805	191
20150806	199
20150807	194
20150808	184
20150809	191
20150810	195
20150811	199
20150812	192
20150813	216
20150814	212
20150815	179
20150816	157
20150817	145
20150818	151
20150819	171
20150820	188
20150821	204
20150822	214
20150823	201
20150824	177
20150825	168
20150826	196
20150827	158
20150828	159
20150829	174
20150830	197
20150831	203
20150901	157
20150902	140
20150903	129
20150904	139
20150905	137
20150906	132
20150907	143
20150908	143
20150909	141
20150910	148
20150911	146
20150912	158
20150913	163
20150914	141
20150915	121
20150916	150
20150917	140
20150918	136
20150919	137
20150920	140
20150921	146
20150922	128
20150923	133
20150924	130
20150925	125
20150926	118
20150927	123
20150928	123
20150929	126
20150930	131
20151001	120
20151002	118
20151003	118
20151004	112
20151005	131
20151006	155
20151007	148
20151008	133
20151009	121
20151010	116
20151011	73
20151012	54
20151013	64
20151014	65
20151015	72
20151016	84
20151017	90
20151018	91
20151019	110
20151020	97
20151021	102
20151022	121
20151023	115
20151024	117
20151025	97
20151026	110
20151027	115
20151028	108
20151029	108
20151030	104
20151031	97
20151101	74
20151102	86
20151103	97
20151104	121
20151105	131
20151106	152
20151107	159
20151108	128
20151109	136
20151110	146
20151111	130
20151112	133
20151113	113
20151114	101
20151115	143
20151116	126
20151117	133
20151118	128
20151119	113
20151120	80
20151121	50
20151122	27
20151123	35
20151124	49
20151125	64
20151126	50
20151127	57
20151128	70
20151129	105
20151130	93
20151201	98
20151202	106
20151203	95
20151204	95
20151205	81
20151206	107
20151207	107
20151208	96
20151209	77
20151210	65
20151211	77
20151212	82
20151213	70
20151214	72
20151215	72
20151216	116
20151217	128
20151218	114
20151219	121
20151220	114
20151221	99
20151222	123
20151223	100
20151224	94
20151225	92
20151226	129
20151227	118
20151228	91
20151229	76
20151230	74
20151231	76
